id,name,datetime,GTvalue,reference
WK036346,Willemspark,2018-03-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-04-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-05-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-06-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-07-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-08-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-09-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-10-01 00:00:00,0.0,Amsterdam
WK036346,Willemspark,2018-11-01 00:00:00,0.0,Amsterdam
GM0377,Bloemendaal,2004-01-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2004-02-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2004-03-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2004-04-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2004-05-01 00:00:00,0.76,Amsterdam
GM0377,Bloemendaal,2004-06-01 00:00:00,1.14,Amsterdam
GM0377,Bloemendaal,2004-07-01 00:00:00,1.46,Amsterdam
GM0377,Bloemendaal,2004-08-01 00:00:00,1.14,Amsterdam
GM0377,Bloemendaal,2004-09-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2004-10-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2004-11-01 00:00:00,0.36,Amsterdam
GM0377,Bloemendaal,2004-12-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2005-01-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2005-02-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2005-03-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2005-04-01 00:00:00,0.92,Amsterdam
GM0377,Bloemendaal,2005-05-01 00:00:00,0.96,Amsterdam
GM0377,Bloemendaal,2005-06-01 00:00:00,1.3,Amsterdam
GM0377,Bloemendaal,2005-07-01 00:00:00,1.54,Amsterdam
GM0377,Bloemendaal,2005-08-01 00:00:00,0.98,Amsterdam
GM0377,Bloemendaal,2005-09-01 00:00:00,0.82,Amsterdam
GM0377,Bloemendaal,2005-10-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2005-11-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2005-12-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2006-01-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2006-02-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2006-03-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2006-04-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2006-05-01 00:00:00,1.08,Amsterdam
GM0377,Bloemendaal,2006-06-01 00:00:00,1.1,Amsterdam
GM0377,Bloemendaal,2006-07-01 00:00:00,1.7,Amsterdam
GM0377,Bloemendaal,2006-08-01 00:00:00,1.06,Amsterdam
GM0377,Bloemendaal,2006-09-01 00:00:00,0.82,Amsterdam
GM0377,Bloemendaal,2006-10-01 00:00:00,0.58,Amsterdam
GM0377,Bloemendaal,2006-11-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2006-12-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2007-01-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2007-02-01 00:00:00,0.54,Amsterdam
GM0377,Bloemendaal,2007-03-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2007-04-01 00:00:00,1.04,Amsterdam
GM0377,Bloemendaal,2007-05-01 00:00:00,1.06,Amsterdam
GM0377,Bloemendaal,2007-06-01 00:00:00,1.14,Amsterdam
GM0377,Bloemendaal,2007-07-01 00:00:00,1.16,Amsterdam
GM0377,Bloemendaal,2007-08-01 00:00:00,1.28,Amsterdam
GM0377,Bloemendaal,2007-09-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2007-10-01 00:00:00,0.54,Amsterdam
GM0377,Bloemendaal,2007-11-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2007-12-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2008-01-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2008-02-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2008-03-01 00:00:00,0.56,Amsterdam
GM0377,Bloemendaal,2008-04-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2008-05-01 00:00:00,1.14,Amsterdam
GM0377,Bloemendaal,2008-06-01 00:00:00,0.94,Amsterdam
GM0377,Bloemendaal,2008-07-01 00:00:00,1.04,Amsterdam
GM0377,Bloemendaal,2008-08-01 00:00:00,1.0,Amsterdam
GM0377,Bloemendaal,2008-09-01 00:00:00,0.62,Amsterdam
GM0377,Bloemendaal,2008-10-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2008-11-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2008-12-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2009-01-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2009-02-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2009-03-01 00:00:00,0.58,Amsterdam
GM0377,Bloemendaal,2009-04-01 00:00:00,0.78,Amsterdam
GM0377,Bloemendaal,2009-05-01 00:00:00,1.02,Amsterdam
GM0377,Bloemendaal,2009-06-01 00:00:00,1.02,Amsterdam
GM0377,Bloemendaal,2009-07-01 00:00:00,0.96,Amsterdam
GM0377,Bloemendaal,2009-08-01 00:00:00,1.26,Amsterdam
GM0377,Bloemendaal,2009-09-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2009-10-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2009-11-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2009-12-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2010-01-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2010-02-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2010-03-01 00:00:00,0.68,Amsterdam
GM0377,Bloemendaal,2010-04-01 00:00:00,0.78,Amsterdam
GM0377,Bloemendaal,2010-05-01 00:00:00,0.9,Amsterdam
GM0377,Bloemendaal,2010-06-01 00:00:00,1.08,Amsterdam
GM0377,Bloemendaal,2010-07-01 00:00:00,1.1,Amsterdam
GM0377,Bloemendaal,2010-08-01 00:00:00,1.04,Amsterdam
GM0377,Bloemendaal,2010-09-01 00:00:00,0.58,Amsterdam
GM0377,Bloemendaal,2010-10-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2010-11-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2010-12-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2011-01-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2011-02-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2011-03-01 00:00:00,0.6,Amsterdam
GM0377,Bloemendaal,2011-04-01 00:00:00,0.96,Amsterdam
GM0377,Bloemendaal,2011-05-01 00:00:00,0.96,Amsterdam
GM0377,Bloemendaal,2011-06-01 00:00:00,0.92,Amsterdam
GM0377,Bloemendaal,2011-07-01 00:00:00,0.88,Amsterdam
GM0377,Bloemendaal,2011-08-01 00:00:00,0.76,Amsterdam
GM0377,Bloemendaal,2011-09-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2011-10-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2011-11-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2011-12-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2012-01-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2012-02-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2012-03-01 00:00:00,0.54,Amsterdam
GM0377,Bloemendaal,2012-04-01 00:00:00,0.58,Amsterdam
GM0377,Bloemendaal,2012-05-01 00:00:00,0.76,Amsterdam
GM0377,Bloemendaal,2012-06-01 00:00:00,0.68,Amsterdam
GM0377,Bloemendaal,2012-07-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2012-08-01 00:00:00,0.8,Amsterdam
GM0377,Bloemendaal,2012-09-01 00:00:00,0.62,Amsterdam
GM0377,Bloemendaal,2012-10-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2012-11-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2012-12-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2013-01-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2013-02-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2013-03-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2013-04-01 00:00:00,0.6,Amsterdam
GM0377,Bloemendaal,2013-05-01 00:00:00,0.68,Amsterdam
GM0377,Bloemendaal,2013-06-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2013-07-01 00:00:00,0.9,Amsterdam
GM0377,Bloemendaal,2013-08-01 00:00:00,0.8,Amsterdam
GM0377,Bloemendaal,2013-09-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2013-10-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2013-11-01 00:00:00,0.36,Amsterdam
GM0377,Bloemendaal,2013-12-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2014-01-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2014-02-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2014-03-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2014-04-01 00:00:00,0.6,Amsterdam
GM0377,Bloemendaal,2014-05-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2014-06-01 00:00:00,0.72,Amsterdam
GM0377,Bloemendaal,2014-07-01 00:00:00,0.88,Amsterdam
GM0377,Bloemendaal,2014-08-01 00:00:00,0.68,Amsterdam
GM0377,Bloemendaal,2014-09-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2014-10-01 00:00:00,0.58,Amsterdam
GM0377,Bloemendaal,2014-11-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2014-12-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2015-01-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2015-02-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2015-03-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2015-04-01 00:00:00,0.52,Amsterdam
GM0377,Bloemendaal,2015-05-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2015-06-01 00:00:00,0.7,Amsterdam
GM0377,Bloemendaal,2015-07-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2015-08-01 00:00:00,0.78,Amsterdam
GM0377,Bloemendaal,2015-09-01 00:00:00,0.46,Amsterdam
GM0377,Bloemendaal,2015-10-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2015-11-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2015-12-01 00:00:00,0.32,Amsterdam
GM0377,Bloemendaal,2016-01-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2016-02-01 00:00:00,0.36,Amsterdam
GM0377,Bloemendaal,2016-03-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2016-04-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2016-05-01 00:00:00,0.62,Amsterdam
GM0377,Bloemendaal,2016-06-01 00:00:00,0.6,Amsterdam
GM0377,Bloemendaal,2016-07-01 00:00:00,0.74,Amsterdam
GM0377,Bloemendaal,2016-08-01 00:00:00,0.78,Amsterdam
GM0377,Bloemendaal,2016-09-01 00:00:00,0.6,Amsterdam
GM0377,Bloemendaal,2016-10-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2016-11-01 00:00:00,0.32,Amsterdam
GM0377,Bloemendaal,2016-12-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2017-01-01 00:00:00,0.9,Amsterdam
GM0377,Bloemendaal,2017-02-01 00:00:00,0.4,Amsterdam
GM0377,Bloemendaal,2017-03-01 00:00:00,0.44,Amsterdam
GM0377,Bloemendaal,2017-04-01 00:00:00,0.56,Amsterdam
GM0377,Bloemendaal,2017-05-01 00:00:00,0.76,Amsterdam
GM0377,Bloemendaal,2017-06-01 00:00:00,0.72,Amsterdam
GM0377,Bloemendaal,2017-07-01 00:00:00,0.68,Amsterdam
GM0377,Bloemendaal,2017-08-01 00:00:00,0.66,Amsterdam
GM0377,Bloemendaal,2017-09-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2017-10-01 00:00:00,0.42,Amsterdam
GM0377,Bloemendaal,2017-11-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2017-12-01 00:00:00,0.34,Amsterdam
GM0377,Bloemendaal,2018-01-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2018-02-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2018-03-01 00:00:00,0.5,Amsterdam
GM0377,Bloemendaal,2018-04-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2018-05-01 00:00:00,0.72,Amsterdam
GM0377,Bloemendaal,2018-06-01 00:00:00,0.66,Amsterdam
GM0377,Bloemendaal,2018-07-01 00:00:00,0.82,Amsterdam
GM0377,Bloemendaal,2018-08-01 00:00:00,0.64,Amsterdam
GM0377,Bloemendaal,2018-09-01 00:00:00,0.48,Amsterdam
GM0377,Bloemendaal,2018-10-01 00:00:00,0.38,Amsterdam
GM0377,Bloemendaal,2018-11-01 00:00:00,0.34,Amsterdam
WK036367,Kadoelen,2004-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2004-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2005-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2006-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2007-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2008-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2009-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2010-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2011-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2012-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2013-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2014-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2015-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2016-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-11-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2017-12-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-01-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-02-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-03-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-04-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-05-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-06-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-07-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-08-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-09-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-10-01 00:00:00,0.0,Amsterdam
WK036367,Kadoelen,2018-11-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-01-01 00:00:00,0.04,Amsterdam
GM0437,Ouder-Amstel,2004-02-01 00:00:00,0.04,Amsterdam
GM0437,Ouder-Amstel,2004-03-01 00:00:00,0.04,Amsterdam
GM0437,Ouder-Amstel,2004-04-01 00:00:00,0.08,Amsterdam
GM0437,Ouder-Amstel,2004-05-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-06-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-07-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-08-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-09-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-10-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-11-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2004-12-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2005-01-01 00:00:00,0.0,Amsterdam
GM0437,Ouder-Amstel,2005-02-01 00:00:00,0.04,Amsterdam
GM0437,Ouder-Amstel,2005-03-01 00:00:00,0.04,Amsterdam
